Method,Basis set,ZPE,H(T)-H(0),S(T),Source
MP2b,TZV2P,0.9782,1.0127,1.018,10.1021/jp073974n
MP2-fc,"6-311G(d,p)",0.9748,1.0061,1.0175,10.1021/jp960976r
MP2-fc,6-31G(d),0.967,1.0211,1.0444,10.1021/jp960976r
MP2-fc,"6-31G(d,p)",0.9608,1.0084,1.0232,10.1021/jp960976r
MP2-fu,6-31G(d),0.9661,1.0084,1.0228,10.1021/jp960976r
MPW1K,"6-31+G(d,p)",0.9537,0.9473,0.9539,10.1021/jp073974n
MPW1K,"6-311+G(2df,p)",0.9596,0.9382,0.9456,10.1021/jp073974n
MPW1K,"6-311+G(d,p)",0.9584,0.9494,0.9564,10.1021/jp073974n
MPW1K,"6-31G(2df,p)",0.9552,0.9373,0.9442,10.1021/jp073974n
MPW1K,6-31G(d),0.9489,0.9424,0.948,10.1021/jp073974n
mPW1K,pc-0,0.9554,1.033,1.01,10.1002/jcc.23073
mPW1K,pc-1,0.954,1.1,1.104,10.1002/jcc.23073
mPW1K,pc-2,0.9584,1.097,1.098,10.1002/jcc.23073
mPW1K,pc-3,0.9594,1.096,1.097,10.1002/jcc.23073
mPW1K,pc-4,0.9595,1.096,1.097,10.1002/jcc.23073
mPW1PW91,"6-31+G(d,p)",0.9751,0.9831,0.9883,10.1021/jp073974n
mPW1PW91,"6-311+G(2df,p)",0.9804,0.9721,0.9783,10.1021/jp073974n
mPW1PW91,"6-311+G(d,p)",0.9793,0.9861,0.9927,10.1021/jp073974n
mPW1PW91,"6-31G(2df,p)",0.9759,0.9705,0.9761,10.1021/jp073974n
mPW1PW91,6-31G(d),0.9708,0.9781,0.9821,10.1021/jp073974n
MPWB1K,"6-31+G(d,p)",0.9563,0.9511,0.9562,10.1021/jp073974n
MPWB1K,"6-31G(2df,p)",0.9569,0.9411,0.9485,10.1021/jp073974n
MPWB1K,6-31G(d),0.9513,0.9462,0.9508,10.1021/jp073974n
O3LYP,"6-31+G(d,p)",0.9867,1.0098,1.0139,10.1021/jp073974n
O3LYP,"6-311+G(2df,p)",0.9918,0.9965,1.001,10.1021/jp073974n
O3LYP,"6-311+G(d,p)",0.9904,1.0123,1.0186,10.1021/jp073974n
O3LYP,"6-31G(2df,p)",0.9872,0.995,0.9989,10.1021/jp073974n
O3LYP,6-31G(d),0.9826,1.0048,1.0075,10.1021/jp073974n
OLYP,"6-31+G(d,p)",1.0022,1.0426,1.0483,10.1021/jp073974n
OLYP,"6-311+G(2df,p)",1.007,1.0262,1.03,10.1021/jp073974n
OLYP,"6-311+G(d,p)",1.0056,1.0455,1.0546,10.1021/jp073974n
OLYP,"6-31G(2df,p)",1.0024,1.0249,1.028,10.1021/jp073974n
OLYP,6-31G(d),0.9985,1.0378,1.0415,10.1021/jp073974n
PBE,"6-31+G(d,p)",1.0123,1.0485,1.0535,10.1021/jp073974n
PBE,"6-311+G(2df,p)",1.0161,1.0328,1.0367,10.1021/jp073974n
PBE,"6-311+G(d,p)",1.0154,1.0534,1.0637,10.1021/jp073974n
PBE,"6-31G(2df,p)",1.012,1.0308,1.034,10.1021/jp073974n
PBE,6-31G(d),1.0085,1.0435,1.0468,10.1021/jp073974n
PBE0,"6-31+G(d,p)",0.9771,0.9827,0.9875,10.1021/jp073974n
PBE0,"6-311+G(2df,p)",0.9824,0.972,0.9776,10.1021/jp073974n
PBE0,"6-311+G(d,p)",0.9812,0.9856,0.9915,10.1021/jp073974n
PBE0,"6-31G(2df,p)",0.9779,0.9703,0.9755,10.1021/jp073974n
PBE0,6-31G(d),0.9726,0.9777,0.9814,10.1021/jp073974n
PBE1PBE,pc-0,0.9793,0.9911,0.9693,10.1002/jcc.23073
PBE1PBE,pc-1,0.9784,1.045,1.049,10.1002/jcc.23073
PBE1PBE,pc-2,0.9812,1.043,1.043,10.1002/jcc.23073
PBE1PBE,pc-3,0.9822,1.042,1.042,10.1002/jcc.23073
PBE1PBE,pc-4,0.9823,1.042,1.042,10.1002/jcc.23073
PBEPBE,pc-0,1.015,0.9257,0.9036,10.1002/jcc.23073
PBEPBE,pc-1,1.014,0.9588,0.9579,10.1002/jcc.23073
PBEPBE,pc-2,1.015,0.9577,0.9539,10.1002/jcc.23073
PBEPBE,pc-3,1.015,0.9571,0.9529,10.1002/jcc.23073
PBEPBE,pc-4,1.016,0.9573,0.9532,10.1002/jcc.23073
QCISD,"6-31+G(d,p)",0.9703,1.01,1.0202,10.1021/jp073974n
QCISD,"6-311+G(d,p)",0.9812,0.997,1.0049,10.1021/jp073974n
QCISD,6-31G(d),0.9777,0.9986,1.0058,10.1021/jp073974n
QCISD(T),"6-31+G(d,p)",0.9786,1.0419,1.0583,10.1021/jp073974n
QCISD(T),"6-311+G(d,p)",0.9907,1.0274,1.0382,10.1021/jp073974n
QCISD(T),6-31G(d),0.9859,1.0273,1.0405,10.1021/jp073974n
QCISD-fc,6-31G(d),0.9776,1.008,1.0187,10.1021/jp960976r
TPSS,"6-31+G(d,p)",0.9957,1.0424,1.0481,10.1021/jp073974n
TPSS,"6-311+G(2df,p)",1.0007,1.0263,1.0308,10.1021/jp073974n
TPSS,"6-311+G(d,p)",0.9999,1.0463,1.0554,10.1021/jp073974n
TPSS,"6-31G(2df,p)",0.9971,1.0264,1.0308,10.1021/jp073974n
TPSS,6-31G(d),0.9925,1.0382,1.0425,10.1021/jp073974n
VSXC,"6-31+G(d,p)",0.9904,1.0393,1.0413,10.1021/jp073974n
VSXC,"6-311+G(2df,p)",0.9947,1.0174,1.0151,10.1021/jp073974n
VSXC,"6-311+G(d,p)",0.9937,1.0406,1.0435,10.1021/jp073974n
VSXC,"6-31G(2df,p)",0.9896,1.0164,1.0156,10.1021/jp073974n
VSXC,6-31G(d),0.9877,1.0359,1.0374,10.1021/jp073974n
